sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,went_on_backorder
1122348,4,12,0,0,0,0,0,0,0,1,0,0,0.75,0.7,0,No
1122349,9,8,0,0,0,0,1,4,4,5,0,0,0.66,0.72,0,No
1122350,2,9,0,0,0,0,0,0,0,1,0,0,0.99,0.98,0,No
1122351,10,2,0,0,0,0,0,0,2,3,0,0,0.73,0.54,0,No
1122352,10,2,0,8,28,51,6,27,71,82,0,0,0.97,0.8,0,Yes
1122353,662,12,0,0,0,0,7,13,101,285,69,0,-99,0.25,0,No
1122354,2,10,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0,No
1122355,42,9,0,0,0,0,2,3,4,5,0,0,0.85,0.83,0,No
1122356,5,12,0,0,0,0,0,0,0,0,0,0,0.62,0.73,0,No
1122357,12,9,0,0,0,0,0,0,0,2,1,0,0.03,0.1,0,No
1122358,4,4,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,No
1122359,3,12,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,No
1122360,0,4,0,7,8,8,0,0,0,0,0,0,0.77,0.8,0,No
1122361,131,52,0,0,0,0,0,1,1,1,0,0,0.93,0.91,0,No
1122362,5,9,0,0,0,0,0,0,1,1,1,0,0.34,0.41,0,No
1122363,6,4,0,0,0,0,79,228,593,888,0,0,0.77,0.8,0,No
1122364,99,8,0,0,0,0,0,5,8,14,0,0,0.79,0.66,0,No
1122365,919,10,32,205,655,1005,153,351,916,1836,147,0,0.77,0.8,0,No
1122366,10,12,0,0,0,0,0,0,0,0,1,0,0.63,0.63,0,No
1122367,15,8,0,0,0,0,1,2,3,3,1,0,0.96,0.97,0,No
1122368,11,2,0,10,30,50,2,7,29,44,2,0,0.99,0.98,0,No
1122369,2,12,0,0,0,0,0,0,0,0,0,0,0.82,0.79,0,No
1122370,843,8,146,1116,2286,3600,454,1558,3128,4752,575,0,0.95,0.9,0,No
1122371,2,12,0,0,0,0,0,0,0,0,0,0,0.62,0.73,0,No
1122372,3,9,0,0,0,0,0,0,0,0,0,0,0.69,0.68,0,No
1122373,150,8,32,354,610,834,72,236,478,803,60,0,0.9,0.88,0,No
1122374,8,8,0,0,0,0,0,0,0,0,0,0,0.85,0.87,0,No
1122375,720,4,0,0,0,0,0,10,10,10,0,0,0.77,0.8,0,No
1122376,0,8,0,0,0,0,0,0,0,0,1,0,0.93,0.95,0,No
1122377,1,12,0,1,2,2,1,1,2,3,0,0,0.73,0.69,0,No
1122378,7,8,0,0,10,10,0,4,6,9,0,0,0.96,0.98,0,No
1122379,192,8,0,162,285,408,58,165,315,506,42,0,0.98,0.98,0,No
1122380,15,8,0,0,0,0,0,0,0,0,3,0,0.84,0.78,0,No
1122381,65,4,8,0,19,57,0,3,7,13,0,0,0.77,0.8,0,No
1122382,109,8,45,129,213,269,35,97,193,294,44,0,0.8,0.85,0,No
1122383,121,2,0,0,0,0,2,7,8,8,0,0,0.77,0.88,0,No
1122384,20,4,0,0,0,0,5,11,23,38,0,0,0.77,0.8,0,No
1122385,7,9,0,0,0,0,0,0,1,1,0,0,0.91,0.74,0,No
1122386,11,8,0,0,0,0,0,0,0,0,1,0,0.99,0.96,0,No
1122387,7,9,0,0,0,0,0,0,0,0,1,0,0.85,0.83,0,No
1122388,161,8,25,54,108,162,23,62,152,246,11,0,0.69,0.59,0,No
1122389,262,8,41,408,720,1023,115,336,623,936,82,0,0.28,0.18,0,No
1122390,29,8,0,0,0,0,0,1,1,3,0,0,0.73,0.88,0,No
1122391,911,8,229,933,2217,3525,378,1100,2290,3680,277,0,0.96,0.97,0,No
1122392,2,8,0,0,0,0,0,0,0,1,1,0,0.99,0.99,0,No
1122393,6,14,0,0,0,0,0,1,1,2,0,0,0.89,0.9,0,No
1122394,13,4,0,0,0,0,0,0,0,2,0,0,0.77,0.8,0,No
1122395,590,4,871,1008,1992,2664,658,1206,2006,2653,305,0,0.93,0.97,2,No
1122396,12,8,0,0,0,0,0,4,8,9,1,0,0.25,0.15,0,No
1122397,5,8,4,10,15,20,3,8,14,18,1,0,0.98,0.96,0,No
1122398,198,8,35,495,732,890,175,294,508,870,208,0,0.99,0.99,0,No
1122399,7,2,1,0,0,0,0,3,3,3,1,0,0.98,0.83,0,No
1122400,20,2,0,0,0,0,2,2,11,13,1,0,0.63,0.64,0,No
1122401,0,8,0,25,25,25,0,0,0,0,0,0,0.69,0.68,0,No
1122402,11,12,0,0,0,0,0,0,0,0,0,0,0.62,0.73,0,No
1122403,3,8,0,0,0,0,0,0,0,0,0,0,0.52,0.46,0,No
1122404,5,3,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0,No
1122405,14,8,0,0,0,0,1,2,2,2,0,0,0.95,0.97,0,No
1122406,47,14,1,7,7,7,5,13,27,41,1,0,0.64,0.67,0,No
1122407,15,2,0,5,9,9,0,1,1,1,0,0,0.75,0.74,0,No
1122408,8,8,0,0,0,0,0,0,0,0,2,0,0.7,0.75,0,No
1122409,1432,2,300,1624,3124,4651,639,1944,3752,5435,519,0,0.94,0.93,0,No
